[10/03/2024, 00:00:00]	v0.0.0
[15/07/2024, 12:00:12]	v0.0.1
[16/07/2024, 14:20:02]	v0.0.2
[16/07/2024, 14:23:02]	v0.0.3
[18/07/2024, 12:37:12]	v2.0.0
[18/07/2024, 12:40:12]	v2.0.1
[19/07/2024, 11:16:11]	v2.0.2
[19/07/2024, 19:08:07]	v2.0.3
[22/07/2024, 11:15:11]	v2.0.4
[22/07/2024, 11:50:11]	v2.0.5
[22/07/2024, 13:15:01]	v2.0.6
[22/07/2024, 14:04:02]	v2.0.7
[22/07/2024, 19:02:07]	v2.0.8
[23/07/2024, 11:24:11]	v2.0.9
[23/07/2024, 12:56:12]	v2.0.10
[25/07/2024, 14:52:02]	v2.0.11
[25/07/2024, 18:48:06]	v2.0.12
[25/07/2024, 18:50:06]	v2.0.13
[26/07/2024, 11:40:11]	v2.0.14
[26/07/2024, 14:57:02]	v2.0.15
[26/07/2024, 19:04:07]	v2.0.16
[06/08/2024, 11:29:11]	v2.0.17
[06/08/2024, 16:42:04]	v2.0.18
[08/08/2024, 19:08:07]	v2.0.19
[05/09/2024, 18:20:06]	v2.0.20
[06/09/2024, 12:03:12]	v2.0.21
[06/09/2024, 15:30:03]	v2.0.22
[09/09/2024, 11:38:11]	v2.0.23
[09/09/2024, 13:19:01]	v2.0.24
[09/09/2024, 14:50:02]	v2.0.25
[09/09/2024, 15:05:03]	v2.0.26
[10/09/2024, 11:11:11]	v2.0.27
[10/09/2024, 11:29:11]	v2.0.28
[10/09/2024, 12:05:12]	v2.0.29
[10/09/2024, 19:13:07]	v2.0.30
[17/09/2024, 17:42:05]	v2.0.31
[17/09/2024, 17:49:05]	v2.0.32
[17/09/2024, 19:09:07]	v2.0.33
[01/10/2024, 11:10:11]	v2.0.34
[01/10/2024, 14:12:02]	v2.0.35
[02/10/2024, 11:24:11]	v2.1.0
[02/10/2024, 18:48:06]	v2.1.1
[03/10/2024, 11:07:11]	v2.1.2
[03/10/2024, 11:19:11]	v2.1.3
[04/10/2024, 11:00:11]	v2.1.4
[16/10/2024, 18:26:06]	v2.1.5
[17/10/2024, 14:29:02]	v2.1.6
[29/10/2024, 19:11:07]	v2.1.7
[06/11/2024, 19:22:07]	v2.1.8
